Id,SalePrice
1461,103249
1462,160929
1463,185780
1464,190375
1465,167850
1466,175153
1467,175598
1468,162538
1469,178755
1470,118416
1471,197191
1472,95331
1473,95418
1474,150604
1475,109502
1476,341617
1477,238888
1478,259835
1479,257843
1480,498570
1481,310201
1482,195184
1483,179434
1484,142530
1485,185066
1486,195305
1487,294047
1488,237617
1489,186048
1490,236262
1491,189116
1492,82207
1493,173226
1494,284108
1495,279769
1496,219487
1497,177939
1498,168024
1499,144624
1500,140552
1501,167628
1502,130677
1503,285022
1504,233546
1505,219781
1506,191576
1507,259549
1508,216706
1509,164712
1510,140805
1511,151804
1512,169798
1513,153720
1514,153262
1515,211772
1516,160857
1517,170405
1518,117269
1519,227231
1520,129501
1521,131894
1522,171893
1523,119544
1524,125380
1525,120450
1526,109522
1527,108705
1528,147256
1529,139158
1530,168820
1531,102924
1532,92564
1533,145531
1534,122041
1535,156482
1536,101837
1537,53325
1538,151652
1539,198004
1540,92297
1541,129196
1542,138094
1543,194780
1544,77155
1545,109511
1546,125231
1547,113802
1548,131801
1549,109787
1550,130728
1551,106373
1552,135001
1553,152670
1554,116884
1555,166306
1556,89624
1557,122091
1558,101210
1559,79198
1560,119663
1561,129854
1562,123671
1563,117748
1564,166685
1565,152023
1566,280581
1567,73090
1568,222555
1569,151560
1570,138243
1571,123458
1572,149785
1573,276183
1574,131776
1575,231707
1576,241587
1577,172231
1578,156137
1579,141559
1580,189273
1581,167160
1582,122539
1583,332704
1584,213568
1585,121352
1586,63197
1587,103101
1588,151076
1589,102975
1590,140926
1591,95113
1592,116103
1593,121705
1594,128027
1595,113755
1596,220029
1597,170584
1598,205377
1599,156392
1600,149209
1601,64784
1602,108197
1603,71524
1604,255070
1605,247123
1606,168992
1607,177682
1608,198223
1609,173224
1610,150022
1611,146732
1612,159681
1613,159703
1614,110879
1615,94889
1616,79037
1617,96405
1618,123317
1619,137922
1620,167873
1621,146187
1622,150139
1623,290542
1624,229175
1625,121726
1626,174730
1627,188069
1628,271822
1629,169632
1630,400708
1631,190156
1632,234791
1633,172724
1634,189960
1635,178865
1636,140245
1637,195855
1638,184627
1639,190567
1640,254213
1641,190950
1642,220167
1643,206545
1644,211377
1645,195710
1646,158744
1647,160063
1648,133877
1649,137583
1650,114328
1651,122789
1652,98817
1653,102542
1654,148572
1655,132019
1656,144223
1657,149363
1658,151703
1659,116097
1660,156771
1661,420810
1662,369386
1663,364016
1664,508619
1665,291810
1666,332387
1667,334728
1668,343148
1669,275766
1670,324462
1671,273107
1672,431763
1673,277840
1674,236723
1675,192494
1676,191973
1677,216377
1678,425363
1679,411521
1680,314323
1681,230261
1682,297459
1683,173120
1684,176028
1685,177236
1686,151694
1687,173739
1688,187739
1689,192513
1690,196128
1691,184264
1692,236168
1693,167546
1694,180732
1695,160176
1696,264665
1697,167785
1698,373902
1699,312504
1700,248086
1701,267698
1702,251280
1703,234691
1704,282561
1705,212944
1706,456244
1707,204026
1708,183823
1709,266589
1710,222177
1711,244177
1712,255547
1713,267214
1714,228004
1715,194823
1716,173745
1717,163474
1718,134291
1719,202376
1720,247015
1721,160001
1722,128226
1723,153232
1724,203345
1725,227555
1726,186512
1727,153683
1728,177656
1729,165894
1730,152968
1731,124187
1732,120935
1733,118620
1734,118303
1735,137924
1736,101853
1737,314046
1738,231164
1739,268314
1740,207668
1741,185392
1742,164456
1743,160034
1744,308685
1745,201878
1746,196807
1747,211987
1748,226161
1749,142246
1750,129519
1751,236443
1752,116985
1753,157495
1754,194846
1755,175399
1756,127192
1757,119139
1758,144383
1759,164128
1760,156875
1761,151279
1762,191257
1763,169008
1764,115718
1765,186649
1766,180709
1767,247316
1768,147060
1769,168981
1770,162138
1771,118386
1772,138525
1773,122300
1774,139061
1775,135179
1776,125057
1777,112508
1778,153157
1779,115328
1780,182931
1781,128644
1782,91807
1783,143899
1784,115521
1785,119349
1786,128535
1787,170989
1788,58200
1789,106041
1790,85290
1791,179444
1792,157316
1793,133343
1794,167068
1795,138917
1796,121428
1797,113649
1798,118391
1799,114353
1800,118859
1801,141038
1802,130549
1803,158402
1804,138978
1805,140947
1806,129719
1807,133866
1808,126003
1809,129721
1810,136931
1811,80023
1812,98752
1813,130111
1814,87617
1815,48707
1816,104489
1817,115225
1818,152186
1819,117005
1820,60530
1821,100727
1822,139257
1823,39412
1824,128655
1825,133674
1826,91889
1827,90861
1828,136751
1829,116306
1830,149389
1831,151607
1832,59762
1833,145505
1834,119713
1835,125483
1836,134371
1837,71920
1838,127211
1839,108519
1840,149618
1841,134271
1842,102216
1843,125121
1844,125091
1845,150554
1846,148949
1847,168272
1848,41732
1849,113454
1850,125499
1851,161896
1852,124357
1853,129171
1854,168567
1855,154343
1856,215265
1857,163618
1858,121356
1859,97883
1860,113425
1861,97123
1862,250729
1863,237511
1864,237567
1865,376895
1866,328253
1867,219911
1868,301412
1869,201602
1870,234136
1871,224110
1872,177680
1873,237575
1874,149378
1875,229445
1876,192632
1877,220876
1878,184423
1879,126272
1880,132026
1881,253020
1882,241458
1883,186820
1884,203001
1885,264918
1886,274114
1887,210371
1888,272525
1889,172830
1890,117083
1891,114708
1892,106091
1893,136094
1894,116312
1895,136693
1896,134736
1897,102361
1898,121227
1899,145787
1900,140787
1901,161454
1902,140687
1903,184866
1904,118561
1905,178397
1906,155943
1907,213080
1908,107875
1909,129663
1910,117368
1911,204184
1912,280487
1913,140046
1914,72779
1915,318586
1916,45383
1917,251642
1918,143347
1919,177836
1920,176106
1921,382121
1922,323740
1923,226236
1924,210793
1925,199738
1926,415306
1927,134262
1928,164163
1929,129532
1930,125526
1931,143584
1932,145564
1933,186779
1934,183947
1935,164975
1936,185614
1937,190293
1938,180136
1939,200548
1940,165653
1941,170893
1942,188589
1943,183115
1944,295342
1945,377873
1946,159661
1947,299506
1948,197750
1949,234004
1950,190682
1951,261835
1952,217272
1953,172258
1954,186132
1955,142127
1956,327324
1957,156714
1958,291006
1959,138726
1960,113034
1961,120283
1962,97694
1963,104687
1964,106461
1965,146620
1966,131855
1967,262006
1968,435667
1969,384433
1970,433428
1971,351167
1972,396837
1973,245198
1974,291680
1975,530351
1976,276816
1977,356076
1978,326837
1979,319613
1980,202138
1981,337109
1982,203697
1983,177646
1984,166636
1985,206613
1986,210099
1987,157808
1988,178866
1989,195487
1990,207501
1991,219435
1992,225201
1993,163422
1994,246980
1995,182618
1996,258199
1997,259190
1998,353024
1999,242035
2000,282078
2001,248701
2002,247658
2003,252416
2004,271487
2005,214393
2006,201128
2007,249139
2008,203996
2009,195224
2010,192041
2011,147128
2012,164846
2013,176007
2014,186495
2015,203554
2016,192114
2017,194271
2018,118183
2019,134480
2020,101117
2021,104083
2022,184860
2023,153694
2024,252549
2025,365716
2026,164554
2027,142314
2028,137865
2029,148369
2030,248050
2031,222414
2032,228178
2033,258529
2034,153419
2035,225488
2036,189283
2037,218059
2038,307912
2039,195417
2040,359385
2041,294758
2042,187103
2043,174490
2044,169935
2045,205863
2046,132988
2047,147694
2048,144573
2049,138134
2050,185769
2051,102774
2052,118716
2053,148757
2054,93451
2055,160605
2056,147866
2057,104174
2058,221311
2059,128333
2060,173711
2061,176549
2062,129693
2063,112420
2064,135146
2065,121621
2066,171580
2067,117820
2068,147091
2069,92265
2070,124278
2071,105960
2072,142869
2073,134833
2074,178488
2075,151456
2076,117885
2077,150452
2078,119895
2079,135708
2080,123736
2081,135375
2082,100478
2083,152009
2084,114088
2085,111272
2086,101633
2087,122394
2088,96997
2089,73651
2090,133909
2091,94723
2092,124530
2093,128948
2094,112554
2095,129194
2096,83126
2097,100199
2098,148165
2099,47687
2100,70579
2101,99670
2102,127876
2103,97764
2104,141448
2105,136512
2106,54644
2107,202082
2108,107316
2109,106413
2110,139915
2111,132039
2112,145585
2113,112180
2114,117025
2115,156221
2116,104141
2117,143482
2118,104297
2119,104870
2120,110185
2121,73510
2122,99951
2123,71633
2124,153320
2125,134285
2126,144037
2127,171023
2128,139568
2129,84146
2130,141120
2131,130886
2132,119238
2133,112589
2134,112580
2135,85239
2136,62159
2137,106638
2138,126289
2139,147056
2140,144042
2141,145271
2142,122807
2143,142144
2144,111831
2145,134233
2146,173906
2147,132201
2148,136596
2149,150134
2150,213343
2151,119738
2152,210386
2153,172053
2154,112099
2155,161103
2156,264634
2157,228808
2158,230754
2159,209543
2160,175107
2161,231820
2162,436959
2163,336373
2164,222125
2165,190049
2166,154860
2167,210098
2168,192028
2169,196021
2170,220697
2171,151432
2172,128116
2173,158889
2174,227620
2175,287244
2176,285883
2177,236859
2178,215959
2179,122490
2180,210647
2181,186132
2182,219404
2183,181128
2184,121820
2185,112533
2186,152116
2187,157390
2188,166068
2189,365766
2190,65437
2191,69300
2192,92421
2193,120207
2194,109435
2195,106433
2196,103520
2197,126070
2198,152857
2199,155788
2200,139709
2201,138508
2202,194442
2203,131618
2204,168800
2205,116203
2206,120623
2207,171107
2208,234822
2209,245440
2210,111589
2211,116178
2212,116951
2213,108519
2214,126992
2215,100017
2216,156097
2217,51157
2218,81603
2219,80404
2220,62606
2221,325078
2222,264589
2223,302407
2224,201117
2225,116504
2226,197821
2227,188694
2228,253384
2229,260361
2230,150801
2231,209071
2232,170938
2233,186050
2234,234576
2235,211507
2236,284465
2237,342425
2238,173346
2239,113553
2240,149832
2241,152073
2242,113588
2243,129097
2244,102900
2245,97062
2246,156807
2247,124459
2248,123503
2249,121053
2250,133359
2251,157003
2252,185700
2253,156752
2254,173639
2255,190038
2256,183093
2257,208904
2258,151079
2259,176494
2260,139783
2261,162845
2262,200310
2263,364405
2264,290885
2265,195685
2266,267099
2267,427779
2268,243626
2269,156384
2270,195908
2271,218212
2272,201253
2273,159352
2274,173708
2275,162677
2276,170753
2277,195788
2278,144913
2279,110766
2280,129613
2281,154260
2282,193299
2283,109860
2284,103161
2285,139810
2286,124424
2287,347994
2288,252974
2289,422552
2290,422679
2291,291193
2292,465790
2293,491726
2294,370602
2295,441559
2296,307971
2297,318883
2298,345845
2299,335765
2300,326162
2301,269608
2302,251052
2303,229427
2304,236470
2305,183530
